,Level,FC,KDJ,Contango,hm_up,Seasonal,LastLevel
SR801,long_1,null,null,-0.9%,null,64%,long_1
CS1801,long_1,null,null,-15.1%,h5>h60,50%,null
ZN1712,long_1,null,null,-1.3%,h5>h60,42%,long_1
BU1712,long_1,null,null,7.1%,h5>h60|today,33%,long_1
NI1801,long_1,null,null,-0.5%,h5>h60,33%,long_1
JD1801,long_2,null,gold cross,null,h5<h60,67%,null
M1801,long_2,null,null,-4.7%,h5>h60|today,47%,long_2
CU1712,long_2,null,gold cross,-0.3%,h5>h60,43%,long_2
RM801,short_1,null,null,-4.4%,h5<h60|today,75%,short_1
HC1801,short_1,null,null,-1.8%,h5<h60|today,67%,short_1
Y1801,short_1,m10,null,1.5%,h5<h60|today,64%,null
AU1712,short_1,null,null,null,null,59%,short_1
AL1712,short_1,null,null,1.3%,h5<h60,57%,short_1
ZC801,short_1,null,null,-14.1%,h5<h60,50%,short_1
RB1801,short_1,null,null,-10.4%,null,38%,null
V1801,short_1,null,null,null,h5<h60,38%,short_1
I1801,short_1,null,null,-11.0%,h5>h60,33%,null
