,Level,FC,KDJ,Contango,hm_up,Seasonal,LastLevel
JM1801,long_1,null,null,-6.7%,h5>h60|today,75%,null
RM801,long_1,null,null,-0.2%,h5>h60,75%,long_1
IH,long_1,null,null,0.6%,h5>h60,62%,long_1
TA801,long_1,null,null,0.3%,h5>h60,50%,long_1
IF,long_1,null,null,0.6%,h5>h60,47%,long_1
M1801,long_1,null,null,-3.1%,h5>h60,41%,long_1
MA801,long_1,null,null,-3.2%,h5>h60,40%,long_1
PP1801,long_1,null,gold cross,1.4%,h5>h60|today,33%,long_1
FG801,long_1,null,null,-2.3%,h5>h60,100%,long_1
ZC801,long_1,null,null,-6.3%,h5>h60|today,0%,long_1
RB1805,long_2,m60,null,-13.6%,h5<h60,63%,null
ZN1801,long_2,null,gold cross,-2.0%,h5<h60,62%,null
OI801,short_1,null,null,-3.3%,h5<h60,70%,short_1
IC,short_1,null,null,0.5%,h5<h60,57%,short_1
Y1801,short_1,null,null,0.4%,h5<h60,55%,short_1
CF801,short_1,null,null,-5.8%,h5<h60,54%,short_1
A1801,short_1,null,gold cross,-2.2%,null,53%,short_1
CU1801,short_1,null,null,0.2%,h5<h60,50%,short_1
T,short_1,null,null,null,h5<h60|today,50%,short_1
TF,short_1,null,null,null,h5>h60,50%,short_1
NI1805,short_1,null,null,-0.1%,h5<h60,38%,short_1
BU1712,short_1,m60,null,2.7%,null,33%,short_1
RU1801,short_1,null,null,17.7%,h5<h60,28%,short_1
V1801,short_1,null,null,null,h5<h60,25%,short_1
L1801,short_2,null,null,0.3%,h5<h60,50%,short_2
