,Level,KDJ,Contango,hm_up,Seasonal,LastLevel
JD1801,long_1,null,null,h5>h60,67%,long_1
P1801,long_1,null,-1.8%,h5>h60|today,56%,long_1
L1801,long_1,null,2.7%,h5>h60,50%,long_1
M1801,long_1,null,-3.7%,h5<h60|today,47%,long_1
CU1712,long_1,null,0.5%,h5<h60|today,43%,long_1
NI1801,long_1,death cross,2.9%,h5>h60,42%,long_1
MA801,long_1,null,-0.7%,h5>h60,40%,null
PP1801,long_1,null,3.9%,h5>h60,33%,long_1
SR801,long_2,null,-3.2%,h5<h60,73%,null
ZN1712,long_2,null,-1.9%,h5<h60,50%,long_2
HC1801,long_2,null,-1.8%,h5<h60,33%,long_1
AL1712,short_1,null,2.5%,h5<h60,57%,short_1
TA801,short_1,null,0.6%,null,56%,null
C1801,short_1,null,-2.4%,h5<h60,50%,short_1
CS1801,short_1,null,-14.7%,h5<h60|today,50%,short_1
AG1712,short_1,null,null,h5<h60,47%,short_1
RU1801,short_1,null,18.9%,h5<h60|today,47%,null
A1801,short_1,null,-0.5%,h5<h60,41%,short_1
AU1712,short_1,null,null,h5<h60,41%,short_1
CF801,short_1,null,-6.6%,h5<h60,38%,short_1
RB1801,short_1,death cross,-7.8%,h5<h60|today,38%,null
J1801,short_1,null,-17.5%,h5<h60,33%,short_1
JM1801,short_1,null,-16.0%,h5<h60,25%,null
