,Level,FC,KDJ,Contango,hm_up,Seasonal,LastLevel
RM801,long_1,null,null,-0.2%,h5>h60,75%,long_1
IH,long_1,null,null,0.6%,null,62%,null
TA801,long_1,null,null,0.3%,h5>h60,50%,long_1
IF,long_1,null,gold cross,0.6%,null,47%,null
M1801,long_1,null,null,-3.1%,h5>h60,41%,long_1
MA801,long_1,null,gold cross,-3.2%,h5>h60|today,40%,null
JD1801,long_1,null,null,null,null,33%,long_1
PP1801,long_1,m5,null,1.4%,null,33%,null
FG801,long_1,null,null,-2.3%,h5>h60,100%,long_1
ZC801,long_1,m10,null,-6.3%,h5<h60,0%,long_1
OI801,short_1,null,null,-3.3%,h5<h60,70%,short_1
AG1712,short_1,null,null,null,h5>h60,59%,short_1
IC,short_1,null,null,0.5%,null,57%,null
Y1801,short_1,null,null,0.4%,h5<h60,55%,short_1
CF801,short_1,null,null,-5.8%,h5<h60,54%,short_1
A1801,short_1,null,null,-2.2%,h5<h60,53%,short_1
CU1801,short_1,null,null,0.2%,h5<h60,50%,short_1
T,short_1,null,null,null,null,50%,null
TF,short_1,null,null,null,null,50%,null
NI1805,short_1,null,null,-0.1%,h5<h60,38%,short_1
BU1712,short_1,null,null,2.7%,h5<h60,33%,short_1
RU1801,short_1,null,null,17.7%,h5<h60|today,28%,null
V1801,short_1,null,null,null,null,25%,short_1
C1801,short_2,null,null,3.1%,null,62%,short_2
L1801,short_2,null,null,0.3%,null,50%,short_2
