,Level,KDJ,Contango,hm_up,Seasonal,LastLevel
FG801,long_1,null,-6.3%,h5>h60|today,75%,long_1
JD1801,long_1,null,null,h5>h60,67%,long_1
P1801,long_1,null,-1.8%,null,56%,null
L1801,long_1,null,2.7%,h5>h60,50%,short_1
RM801,long_1,null,-5.1%,h5>h60,50%,long_1
M1801,long_1,null,-3.7%,h5>h60,47%,long_1
CU1712,long_1,null,0.5%,h5>h60,43%,long_1
NI1801,long_1,null,2.9%,h5>h60,42%,long_1
HC1801,long_1,gold cross,-1.8%,null,33%,short_1
PP1801,long_1,null,3.9%,h5>h60|today,33%,null
ZN1712,long_2,null,-1.9%,h5<h60,50%,null
Y1801,short_1,null,0.5%,h5<h60,64%,short_1
OI801,short_1,null,-2.9%,h5<h60,60%,short_1
AL1712,short_1,null,2.5%,h5<h60,57%,short_1
C1801,short_1,null,-2.4%,h5<h60,50%,short_1
CS1801,short_1,null,-14.7%,h5>h60,50%,null
AG1712,short_1,null,null,h5<h60|today,47%,short_1
A1801,short_1,null,-0.5%,h5<h60,41%,short_1
AU1712,short_1,null,null,h5<h60,41%,short_1
CF801,short_1,null,-6.6%,h5<h60,38%,short_1
BU1712,short_1,null,1.5%,h5<h60,33%,short_1
J1801,short_1,gold cross,-17.5%,h5<h60,33%,short_1
