,Level,FC,KDJ,Contango,hm_up,Seasonal,LastLevel
FG801,long_1,null,null,-6.6%,h5>h60,75%,long_1
HC1801,long_1,null,null,-2.0%,h5>h60,67%,short_1
SR801,long_1,null,null,0.2%,h5>h60,64%,long_1
AG1712,long_1,null,null,null,h5>h60|today,53%,null
L1801,long_1,null,null,1.9%,null,50%,long_1
ZC801,long_1,null,null,-9.3%,h5>h60,50%,long_1
MA801,long_1,null,death cross,-2.5%,null,40%,long_1
TA801,long_1,null,null,0.7%,h5>h60,40%,long_1
RB1805,long_1,null,null,-8.4%,h5>h60,38%,long_1
BU1712,long_1,null,null,8.1%,h5>h60,33%,long_1
I1801,long_1,null,null,-5.2%,h5<h60|today,33%,long_1
PP1801,long_1,null,null,2.2%,null,33%,long_1
CS1801,long_1,null,null,-9.4%,null,100%,long_1
JD1801,long_1,null,null,null,null,100%,long_1
ZN1801,long_2,null,null,-0.9%,h5>h60|today,50%,short_1
RM801,short_1,null,null,-3.7%,h5<h60|today,75%,null
Y1801,short_1,null,null,0.5%,h5<h60|today,64%,null
A1801,short_1,null,null,-2.2%,h5>h60,59%,null
AL1801,short_1,null,null,1.6%,h5<h60,57%,short_1
CF801,short_1,null,death cross,-5.5%,h5>h60,54%,short_1
V1801,short_1,m5,null,null,null,50%,short_1
RU1801,short_1,null,death cross,19.0%,h5<h60|today,28%,short_1
