,AP805.CZC,AP807.CZC,AP810.CZC,AP811.CZC,AP812.CZC,AP901.CZC,AP903.CZC
2017-04-13,,,,,,,
2017-04-14,,,,,,,
2017-04-17,,,,,,,
2017-04-18,,,,,,,
2017-04-19,,,,,,,
2017-04-20,,,,,,,
2017-04-21,,,,,,,
2017-04-24,,,,,,,
2017-04-25,,,,,,,
2017-04-26,,,,,,,
2017-04-27,,,,,,,
2017-04-28,,,,,,,
2017-05-02,,,,,,,
2017-05-03,,,,,,,
2017-05-04,,,,,,,
2017-05-05,,,,,,,
2017-05-08,,,,,,,
2017-05-09,,,,,,,
2017-05-10,,,,,,,
2017-05-11,,,,,,,
2017-05-12,,,,,,,
2017-05-15,,,,,,,
2017-05-16,,,,,,,
2017-05-17,,,,,,,
2017-05-18,,,,,,,
2017-05-19,,,,,,,
2017-05-22,,,,,,,
2017-05-23,,,,,,,
2017-05-24,,,,,,,
2017-05-25,,,,,,,
2017-05-26,,,,,,,
2017-05-31,,,,,,,
2017-06-01,,,,,,,
2017-06-02,,,,,,,
2017-06-05,,,,,,,
2017-06-06,,,,,,,
2017-06-07,,,,,,,
2017-06-08,,,,,,,
2017-06-09,,,,,,,
2017-06-12,,,,,,,
2017-06-13,,,,,,,
2017-06-14,,,,,,,
2017-06-15,,,,,,,
2017-06-16,,,,,,,
2017-06-19,,,,,,,
2017-06-20,,,,,,,
2017-06-21,,,,,,,
2017-06-22,,,,,,,
2017-06-23,,,,,,,
2017-06-26,,,,,,,
2017-06-27,,,,,,,
2017-06-28,,,,,,,
2017-06-29,,,,,,,
2017-06-30,,,,,,,
2017-07-03,,,,,,,
2017-07-04,,,,,,,
2017-07-05,,,,,,,
2017-07-06,,,,,,,
2017-07-07,,,,,,,
2017-07-10,,,,,,,
2017-07-11,,,,,,,
2017-07-12,,,,,,,
2017-07-13,,,,,,,
2017-07-14,,,,,,,
2017-07-17,,,,,,,
2017-07-18,,,,,,,
2017-07-19,,,,,,,
2017-07-20,,,,,,,
2017-07-21,,,,,,,
2017-07-24,,,,,,,
2017-07-25,,,,,,,
2017-07-26,,,,,,,
2017-07-27,,,,,,,
2017-07-28,,,,,,,
2017-07-31,,,,,,,
2017-08-01,,,,,,,
2017-08-02,,,,,,,
2017-08-03,,,,,,,
2017-08-04,,,,,,,
2017-08-07,,,,,,,
2017-08-08,,,,,,,
2017-08-09,,,,,,,
2017-08-10,,,,,,,
2017-08-11,,,,,,,
2017-08-14,,,,,,,
2017-08-15,,,,,,,
2017-08-16,,,,,,,
2017-08-17,,,,,,,
2017-08-18,,,,,,,
2017-08-21,,,,,,,
2017-08-22,,,,,,,
2017-08-23,,,,,,,
2017-08-24,,,,,,,
2017-08-25,,,,,,,
2017-08-28,,,,,,,
2017-08-29,,,,,,,
2017-08-30,,,,,,,
2017-08-31,,,,,,,
2017-09-01,,,,,,,
2017-09-04,,,,,,,
2017-09-05,,,,,,,
2017-09-06,,,,,,,
2017-09-07,,,,,,,
2017-09-08,,,,,,,
2017-09-11,,,,,,,
2017-09-12,,,,,,,
2017-09-13,,,,,,,
2017-09-14,,,,,,,
2017-09-15,,,,,,,
2017-09-18,,,,,,,
2017-09-19,,,,,,,
2017-09-20,,,,,,,
2017-09-21,,,,,,,
2017-09-22,,,,,,,
2017-09-25,,,,,,,
2017-09-26,,,,,,,
2017-09-27,,,,,,,
2017-09-28,,,,,,,
2017-09-29,,,,,,,
2017-10-09,,,,,,,
2017-10-10,,,,,,,
2017-10-11,,,,,,,
2017-10-12,,,,,,,
2017-10-13,,,,,,,
2017-10-16,,,,,,,
2017-10-17,,,,,,,
2017-10-18,,,,,,,
2017-10-19,,,,,,,
2017-10-20,,,,,,,
2017-10-23,,,,,,,
2017-10-24,,,,,,,
2017-10-25,,,,,,,
2017-10-26,,,,,,,
2017-10-27,,,,,,,
2017-10-30,,,,,,,
2017-10-31,,,,,,,
2017-11-01,,,,,,,
2017-11-02,,,,,,,
2017-11-03,,,,,,,
2017-11-06,,,,,,,
2017-11-07,,,,,,,
2017-11-08,,,,,,,
2017-11-09,,,,,,,
2017-11-10,,,,,,,
2017-11-13,,,,,,,
2017-11-14,,,,,,,
2017-11-15,,,,,,,
2017-11-16,,,,,,,
2017-11-17,,,,,,,
2017-11-20,,,,,,,
2017-11-21,,,,,,,
2017-11-22,,,,,,,
2017-11-23,,,,,,,
2017-11-24,,,,,,,
2017-11-27,,,,,,,
2017-11-28,,,,,,,
2017-11-29,,,,,,,
2017-11-30,,,,,,,
2017-12-01,,,,,,,
2017-12-04,,,,,,,
2017-12-05,,,,,,,
2017-12-06,,,,,,,
2017-12-07,,,,,,,
2017-12-08,,,,,,,
2017-12-11,,,,,,,
2017-12-12,,,,,,,
2017-12-13,,,,,,,
2017-12-14,,,,,,,
2017-12-15,,,,,,,
2017-12-18,,,,,,,
2017-12-19,,,,,,,
2017-12-20,,,,,,,
2017-12-21,,,,,,,
2017-12-22,7920.0,7916.0,7700.0,7750.0,7899.0,,
2017-12-25,8118.0,8080.0,7150.0,7180.0,7190.0,,
2017-12-26,8105.0,7788.0,7000.0,7000.0,7008.0,,
2017-12-27,8094.0,7877.0,7071.0,7019.0,7054.0,,
2017-12-28,8092.0,7924.0,7102.0,7056.0,7090.0,,
2017-12-29,8106.0,8029.0,7180.0,7173.0,7205.0,,
2018-01-02,8088.0,8030.0,7163.0,7168.0,7204.0,,
2018-01-03,8103.0,8024.0,7185.0,7163.0,7167.0,,
2018-01-04,8098.0,8030.0,7162.0,7148.0,7183.0,,
2018-01-05,8098.0,8043.0,7180.0,7178.0,7205.0,,
2018-01-08,8103.0,8040.0,7232.0,7205.0,7238.0,,
2018-01-09,8086.0,8015.0,7171.0,7166.0,7203.0,,
2018-01-10,7956.0,7880.0,7145.0,7147.0,7186.0,,
2018-01-11,7931.0,7863.0,7126.0,7139.0,7178.0,,
2018-01-12,7821.0,7758.0,7094.0,7006.0,7116.0,,
2018-01-15,7763.0,7709.0,7070.0,7035.0,7089.0,,
2018-01-16,7764.0,7722.0,7092.0,7052.0,7097.0,7732.0,
2018-01-17,7736.0,7662.0,7060.0,7052.0,7156.0,7280.0,
2018-01-18,7668.0,7635.0,6985.0,7009.0,7077.0,7147.0,
2018-01-19,7670.0,7620.0,6982.0,7013.0,7087.0,7129.0,
2018-01-22,7682.0,7730.0,7001.0,7068.0,7109.0,7096.0,
2018-01-23,7714.0,7729.0,7010.0,7058.0,7094.0,7151.0,
2018-01-24,7706.0,7729.0,7018.0,7033.0,7059.0,7119.0,
2018-01-25,7687.0,7667.0,7016.0,7050.0,7069.0,7133.0,
2018-01-26,7668.0,7654.0,6995.0,7023.0,7054.0,7118.0,
2018-01-29,7691.0,7680.0,7018.0,7025.0,7062.0,7111.0,
2018-01-30,7551.0,7572.0,6950.0,6960.0,6986.0,7069.0,
2018-01-31,7510.0,7526.0,6926.0,6906.0,6950.0,7033.0,
2018-02-01,7492.0,7504.0,6917.0,6955.0,,7041.0,
2018-02-02,7448.0,7434.0,6910.0,6871.0,6966.0,7000.0,
2018-02-05,7360.0,7321.0,6876.0,6873.0,6941.0,6990.0,
2018-02-06,7329.0,7320.0,6855.0,6822.0,6918.0,6965.0,
2018-02-07,7278.0,7244.0,6588.0,6560.0,6616.0,6600.0,
2018-02-08,6890.0,6902.0,6240.0,6207.0,6202.0,6297.0,
2018-02-09,6762.0,6862.0,6218.0,6240.0,6300.0,6375.0,
2018-02-12,6751.0,6846.0,6198.0,6215.0,6285.0,6306.0,
2018-02-13,6805.0,6916.0,6100.0,6080.0,6127.0,6184.0,
2018-02-14,6796.0,6838.0,6071.0,6049.0,6137.0,6116.0,
2018-02-22,6591.0,6680.0,5900.0,5830.0,5914.0,5990.0,
2018-02-23,6480.0,6496.0,5905.0,5828.0,5895.0,5985.0,
2018-02-26,6955.0,7095.0,6290.0,6140.0,6230.0,6299.0,
2018-02-27,6945.0,7109.0,6210.0,6183.0,6239.0,6285.0,
2018-02-28,7082.0,7196.0,6230.0,6212.0,6275.0,6313.0,
2018-03-01,7090.0,7159.0,6240.0,6219.0,6296.0,6331.0,
2018-03-02,7115.0,7180.0,6282.0,6232.0,6280.0,6337.0,
2018-03-05,7005.0,7130.0,6085.0,6080.0,6155.0,6214.0,
2018-03-06,7030.0,7177.0,6100.0,6105.0,6191.0,6250.0,
2018-03-07,7216.0,7386.0,6365.0,6358.0,6422.0,6470.0,
2018-03-08,7182.0,7390.0,6286.0,6268.0,6321.0,6420.0,
2018-03-09,7132.0,7412.0,6270.0,6277.0,6360.0,6425.0,
2018-03-12,7251.0,7454.0,6300.0,6315.0,6374.0,6422.0,
2018-03-13,7029.0,7268.0,6187.0,6209.0,6262.0,6354.0,
2018-03-14,7036.0,7340.0,6371.0,6363.0,6423.0,6500.0,
2018-03-15,7004.0,7280.0,6318.0,6327.0,6360.0,6453.0,6425.0
2018-03-16,6918.0,7204.0,6335.0,6350.0,6434.0,6480.0,6537.0
2018-03-19,7045.0,7370.0,6370.0,6392.0,6420.0,6520.0,
2018-03-20,7015.0,7410.0,6396.0,6409.0,6445.0,6522.0,6540.0
2018-03-21,7012.0,7410.0,6316.0,6334.0,6388.0,6446.0,6548.0
2018-03-22,7394.0,7463.0,6351.0,6356.0,6401.0,6437.0,6548.0
2018-03-23,7190.0,7489.0,6375.0,6374.0,6413.0,6503.0,6611.0
2018-03-26,7370.0,7637.0,6430.0,6447.0,6520.0,6564.0,6644.0
2018-03-27,7412.0,7701.0,6581.0,6600.0,6655.0,6745.0,6798.0
2018-03-28,7306.0,7699.0,6546.0,6582.0,6653.0,6710.0,6745.0
2018-03-29,7336.0,7684.0,6610.0,6709.0,6735.0,6830.0,6841.0
2018-03-30,7240.0,7528.0,6526.0,6421.0,6693.0,6760.0,6730.0
2018-04-02,7302.0,7532.0,6510.0,6612.0,6678.0,6747.0,6864.0
2018-04-03,7406.0,7613.0,6540.0,6641.0,6669.0,6781.0,6800.0
2018-04-04,7400.0,7570.0,6505.0,6580.0,6622.0,6715.0,6751.0
2018-04-09,7264.0,7700.0,6575.0,6807.0,6870.0,6955.0,6908.0
