,AP805.CZC,AP807.CZC,AP810.CZC,AP811.CZC,AP812.CZC,AP901.CZC,AP903.CZC
2017-04-13,,,,,,,
2017-04-14,,,,,,,
2017-04-17,,,,,,,
2017-04-18,,,,,,,
2017-04-19,,,,,,,
2017-04-20,,,,,,,
2017-04-21,,,,,,,
2017-04-24,,,,,,,
2017-04-25,,,,,,,
2017-04-26,,,,,,,
2017-04-27,,,,,,,
2017-04-28,,,,,,,
2017-05-02,,,,,,,
2017-05-03,,,,,,,
2017-05-04,,,,,,,
2017-05-05,,,,,,,
2017-05-08,,,,,,,
2017-05-09,,,,,,,
2017-05-10,,,,,,,
2017-05-11,,,,,,,
2017-05-12,,,,,,,
2017-05-15,,,,,,,
2017-05-16,,,,,,,
2017-05-17,,,,,,,
2017-05-18,,,,,,,
2017-05-19,,,,,,,
2017-05-22,,,,,,,
2017-05-23,,,,,,,
2017-05-24,,,,,,,
2017-05-25,,,,,,,
2017-05-26,,,,,,,
2017-05-31,,,,,,,
2017-06-01,,,,,,,
2017-06-02,,,,,,,
2017-06-05,,,,,,,
2017-06-06,,,,,,,
2017-06-07,,,,,,,
2017-06-08,,,,,,,
2017-06-09,,,,,,,
2017-06-12,,,,,,,
2017-06-13,,,,,,,
2017-06-14,,,,,,,
2017-06-15,,,,,,,
2017-06-16,,,,,,,
2017-06-19,,,,,,,
2017-06-20,,,,,,,
2017-06-21,,,,,,,
2017-06-22,,,,,,,
2017-06-23,,,,,,,
2017-06-26,,,,,,,
2017-06-27,,,,,,,
2017-06-28,,,,,,,
2017-06-29,,,,,,,
2017-06-30,,,,,,,
2017-07-03,,,,,,,
2017-07-04,,,,,,,
2017-07-05,,,,,,,
2017-07-06,,,,,,,
2017-07-07,,,,,,,
2017-07-10,,,,,,,
2017-07-11,,,,,,,
2017-07-12,,,,,,,
2017-07-13,,,,,,,
2017-07-14,,,,,,,
2017-07-17,,,,,,,
2017-07-18,,,,,,,
2017-07-19,,,,,,,
2017-07-20,,,,,,,
2017-07-21,,,,,,,
2017-07-24,,,,,,,
2017-07-25,,,,,,,
2017-07-26,,,,,,,
2017-07-27,,,,,,,
2017-07-28,,,,,,,
2017-07-31,,,,,,,
2017-08-01,,,,,,,
2017-08-02,,,,,,,
2017-08-03,,,,,,,
2017-08-04,,,,,,,
2017-08-07,,,,,,,
2017-08-08,,,,,,,
2017-08-09,,,,,,,
2017-08-10,,,,,,,
2017-08-11,,,,,,,
2017-08-14,,,,,,,
2017-08-15,,,,,,,
2017-08-16,,,,,,,
2017-08-17,,,,,,,
2017-08-18,,,,,,,
2017-08-21,,,,,,,
2017-08-22,,,,,,,
2017-08-23,,,,,,,
2017-08-24,,,,,,,
2017-08-25,,,,,,,
2017-08-28,,,,,,,
2017-08-29,,,,,,,
2017-08-30,,,,,,,
2017-08-31,,,,,,,
2017-09-01,,,,,,,
2017-09-04,,,,,,,
2017-09-05,,,,,,,
2017-09-06,,,,,,,
2017-09-07,,,,,,,
2017-09-08,,,,,,,
2017-09-11,,,,,,,
2017-09-12,,,,,,,
2017-09-13,,,,,,,
2017-09-14,,,,,,,
2017-09-15,,,,,,,
2017-09-18,,,,,,,
2017-09-19,,,,,,,
2017-09-20,,,,,,,
2017-09-21,,,,,,,
2017-09-22,,,,,,,
2017-09-25,,,,,,,
2017-09-26,,,,,,,
2017-09-27,,,,,,,
2017-09-28,,,,,,,
2017-09-29,,,,,,,
2017-10-09,,,,,,,
2017-10-10,,,,,,,
2017-10-11,,,,,,,
2017-10-12,,,,,,,
2017-10-13,,,,,,,
2017-10-16,,,,,,,
2017-10-17,,,,,,,
2017-10-18,,,,,,,
2017-10-19,,,,,,,
2017-10-20,,,,,,,
2017-10-23,,,,,,,
2017-10-24,,,,,,,
2017-10-25,,,,,,,
2017-10-26,,,,,,,
2017-10-27,,,,,,,
2017-10-30,,,,,,,
2017-10-31,,,,,,,
2017-11-01,,,,,,,
2017-11-02,,,,,,,
2017-11-03,,,,,,,
2017-11-06,,,,,,,
2017-11-07,,,,,,,
2017-11-08,,,,,,,
2017-11-09,,,,,,,
2017-11-10,,,,,,,
2017-11-13,,,,,,,
2017-11-14,,,,,,,
2017-11-15,,,,,,,
2017-11-16,,,,,,,
2017-11-17,,,,,,,
2017-11-20,,,,,,,
2017-11-21,,,,,,,
2017-11-22,,,,,,,
2017-11-23,,,,,,,
2017-11-24,,,,,,,
2017-11-27,,,,,,,
2017-11-28,,,,,,,
2017-11-29,,,,,,,
2017-11-30,,,,,,,
2017-12-01,,,,,,,
2017-12-04,,,,,,,
2017-12-05,,,,,,,
2017-12-06,,,,,,,
2017-12-07,,,,,,,
2017-12-08,,,,,,,
2017-12-11,,,,,,,
2017-12-12,,,,,,,
2017-12-13,,,,,,,
2017-12-14,,,,,,,
2017-12-15,,,,,,,
2017-12-18,,,,,,,
2017-12-19,,,,,,,
2017-12-20,,,,,,,
2017-12-21,,,,,,,
2017-12-22,21646.0,894.0,5256.0,458.0,208.0,,
2017-12-25,25296.0,1918.0,11818.0,628.0,300.0,,
2017-12-26,21018.0,1302.0,9598.0,756.0,474.0,,
2017-12-27,17524.0,1122.0,8054.0,708.0,490.0,,
2017-12-28,15558.0,1012.0,6272.0,598.0,440.0,,
2017-12-29,13754.0,1002.0,5600.0,554.0,450.0,,
2018-01-02,12360.0,954.0,4590.0,498.0,346.0,,
2018-01-03,11852.0,916.0,4870.0,500.0,358.0,,
2018-01-04,11252.0,874.0,4628.0,498.0,378.0,,
2018-01-05,10090.0,800.0,4278.0,422.0,308.0,,
2018-01-08,9794.0,732.0,4426.0,398.0,318.0,,
2018-01-09,15934.0,588.0,4694.0,398.0,356.0,,
2018-01-10,16004.0,554.0,4524.0,398.0,362.0,,
2018-01-11,20238.0,484.0,4616.0,446.0,370.0,,
2018-01-12,24070.0,428.0,4416.0,464.0,336.0,,
2018-01-15,25024.0,432.0,4564.0,472.0,342.0,,
2018-01-16,28730.0,396.0,4846.0,522.0,392.0,66.0,
2018-01-17,31314.0,452.0,5784.0,534.0,392.0,470.0,
2018-01-18,32514.0,444.0,5728.0,616.0,426.0,634.0,
2018-01-19,31622.0,452.0,5770.0,590.0,388.0,662.0,
2018-01-22,30488.0,408.0,5542.0,568.0,380.0,726.0,
2018-01-23,28442.0,400.0,5346.0,528.0,304.0,726.0,
2018-01-24,28900.0,392.0,5320.0,532.0,302.0,724.0,
2018-01-25,29692.0,390.0,5126.0,490.0,286.0,734.0,
2018-01-26,27502.0,386.0,5028.0,490.0,286.0,740.0,
2018-01-29,32460.0,384.0,5228.0,502.0,304.0,736.0,
2018-01-30,36340.0,354.0,5280.0,518.0,316.0,772.0,
2018-01-31,36572.0,332.0,5370.0,508.0,318.0,798.0,
2018-02-01,38134.0,346.0,5340.0,500.0,318.0,806.0,
2018-02-02,42932.0,404.0,5486.0,496.0,310.0,870.0,
2018-02-05,48282.0,476.0,5772.0,516.0,296.0,914.0,
2018-02-06,51858.0,398.0,7432.0,1112.0,320.0,1512.0,
2018-02-07,70608.0,804.0,11970.0,1400.0,468.0,1778.0,
2018-02-08,52822.0,1236.0,11144.0,1638.0,468.0,2238.0,
2018-02-09,55844.0,1292.0,12416.0,1648.0,542.0,2354.0,
2018-02-12,53656.0,1264.0,16174.0,2698.0,688.0,2692.0,
2018-02-13,53304.0,1290.0,16110.0,2716.0,678.0,2672.0,
2018-02-14,52600.0,1398.0,19390.0,3162.0,756.0,3044.0,
2018-02-22,71708.0,1954.0,20768.0,3434.0,790.0,3264.0,
2018-02-23,71108.0,3158.0,20350.0,3644.0,804.0,3682.0,
2018-02-26,54924.0,3452.0,19426.0,2798.0,686.0,3430.0,
2018-02-27,64128.0,3616.0,18046.0,2986.0,650.0,3534.0,
2018-02-28,66560.0,3706.0,19340.0,2752.0,694.0,3626.0,
2018-03-01,68836.0,3864.0,19108.0,3518.0,694.0,4200.0,
2018-03-02,62484.0,4628.0,28630.0,6002.0,690.0,7382.0,
2018-03-05,61168.0,5194.0,30836.0,6622.0,908.0,9018.0,
2018-03-06,76480.0,5600.0,27586.0,6606.0,886.0,8240.0,
2018-03-07,68264.0,6246.0,26190.0,6552.0,884.0,8124.0,
2018-03-08,62722.0,7180.0,27308.0,6280.0,1038.0,8984.0,
2018-03-09,63194.0,6990.0,27384.0,6196.0,1014.0,8770.0,
2018-03-12,65806.0,6336.0,27946.0,6206.0,998.0,9106.0,
2018-03-13,59850.0,6932.0,27462.0,5918.0,1058.0,9012.0,
2018-03-14,59196.0,6824.0,27022.0,5816.0,1060.0,8860.0,
2018-03-15,73462.0,6838.0,29154.0,5856.0,1064.0,8932.0,4.0
2018-03-16,72430.0,8926.0,30892.0,6036.0,1160.0,8936.0,6.0
2018-03-19,64384.0,9524.0,29022.0,5778.0,1164.0,8880.0,6.0
2018-03-20,58194.0,9406.0,27966.0,5674.0,1160.0,8796.0,8.0
2018-03-21,60412.0,8796.0,28908.0,5392.0,1154.0,8254.0,22.0
2018-03-22,56210.0,8358.0,25456.0,4990.0,1188.0,7562.0,52.0
2018-03-23,61242.0,8290.0,22584.0,4924.0,1214.0,7440.0,52.0
2018-03-26,65986.0,9370.0,27004.0,5302.0,1316.0,8978.0,38.0
2018-03-27,57648.0,10320.0,25504.0,5346.0,1282.0,8722.0,30.0
2018-03-28,59120.0,9842.0,27524.0,5974.0,1308.0,10012.0,26.0
2018-03-29,53998.0,9490.0,25920.0,5858.0,1308.0,10584.0,34.0
2018-03-30,51520.0,8992.0,28116.0,5898.0,1300.0,10504.0,38.0
2018-04-02,73706.0,8678.0,30342.0,5828.0,1294.0,9978.0,56.0
2018-04-03,61594.0,8196.0,32004.0,5798.0,1286.0,9448.0,58.0
2018-04-04,54878.0,7704.0,35586.0,5880.0,1266.0,9280.0,72.0
2018-04-09,48220.0,8484.0,32136.0,6528.0,1646.0,10438.0,68.0
2018-04-10,49180.0,9204.0,47724.0,6924.0,1614.0,15014.0,1056.0
2018-04-11,43652.0,9806.0,70680.0,9376.0,2200.0,19978.0,2010.0
2018-04-12,32590.0,11510.0,88142.0,9680.0,2628.0,23686.0,2112.0
