,adjust
BU06,70
BU09,150
BU12,200
C01,50
C05,30
C09,15
CF01,-80
CF05,0
CF09,-60
CS01,150
CS05,100
CS09,85
HC01,85
HC05,0
HC10,0
I01,10
I05,10
I09,15
J01,75
J05,85
J09,25
JM01,0
JM05,50
JM09,50
L01,-80
L05,-50
L09,-150
M01,200
M05,100
M09,100
MA01,-80
MA05,-65
MA09,-50
NI01,0
NI05,0
NI09,0
OI01,400
OI05,300
OI09,200
P01,-25
P05,50
P09,100
PP01,-60
PP05,-80
PP09,-100
RB01,50
RB05,100
RB10,150
RM01,60
RM05,20
RM09,40
RU01,-1500
RU05,-400
RU09,50
SR01,-100
SR05,50
SR09,20
TA01,-80
TA05,-25
TA09,-15
Y01,300
Y05,300
Y09,250
