,Level,KDJ,Contango,hm_up,Seasonal,LastLevel
SR801,long_1,null,-4.6%,h5>h60,73%,null
JD1801,long_1,null,null,null,67%,long_1
P1801,long_1,null,-2.6%,h5>h60,56%,long_2
FG801,long_1,null,-6.6%,h5>h60,50%,null
RM801,long_1,null,-4.8%,h5>h60,50%,long_1
ZN1712,long_1,null,-3.8%,null,50%,long_1
CU1712,long_1,null,1.4%,h5>h60,43%,long_1
NI1801,long_1,null,4.0%,h5>h60,42%,long_1
M1801,long_1,null,-1.9%,h5>h60,35%,long_1
HC1801,long_1,null,0.0%,h5>h60,33%,null
TA801,short_1,null,-0.8%,h5>h60|today,56%,short_1
CS1801,short_1,null,-10.5%,null,50%,short_1
C1801,short_1,null,0.1%,null,42%,short_1
A1801,short_1,null,4.5%,h5<h60,41%,short_1
BU1712,short_1,null,7.4%,h5>h60,33%,null
V1801,short_1,null,null,null,25%,short_1
