,Level,KDJ,Contango,hm_up,Seasonal,LastLevel
FG801,long_1,null,-7.3%,h5<h60|today,75%,long_1
JD1801,long_1,null,null,h5>h60,67%,long_1
RM801,long_1,null,-5.0%,h5>h60,50%,long_1
M1801,long_1,null,-3.8%,h5>h60,47%,long_1
CU1712,long_1,null,-0.3%,h5>h60,43%,long_1
NI1801,long_1,null,0.6%,h5>h60,42%,long_1
Y1801,short_1,null,0.4%,h5<h60,64%,short_1
MA801,short_1,null,-3.6%,h5<h60|today,60%,null
OI801,short_1,null,-2.8%,h5<h60|today,60%,short_1
AL1712,short_1,null,1.3%,h5<h60,57%,short_1
TA801,short_1,null,0.5%,h5>h60,56%,null
C1801,short_1,null,-2.4%,h5<h60,50%,short_1
L1801,short_1,death cross,0.9%,h5>h60,50%,long_1
ZC801,short_1,null,-15.3%,h5<h60|today,50%,short_1
AG1712,short_1,null,null,h5<h60,47%,short_1
RU1801,short_1,null,19.0%,null,47%,null
A1801,short_1,null,-0.7%,h5<h60,41%,short_1
AU1712,short_1,null,null,h5<h60,41%,short_1
CF801,short_1,death cross,-6.4%,h5<h60|today,38%,short_1
RB1801,short_1,null,-10.4%,h5<h60|today,38%,short_1
V1801,short_1,null,null,h5<h60,38%,short_1
BU1712,short_1,death cross,1.4%,h5<h60|today,33%,short_1
HC1801,short_1,null,-3.7%,h5<h60|today,33%,null
I1801,short_1,null,-10.9%,h5<h60|today,33%,null
J1801,short_1,null,-18.7%,h5<h60,33%,short_1
JM1801,short_1,null,-16.7%,h5<h60|today,25%,short_1
