,Level,FC,KDJ,Contango,hm_up,Seasonal,LastLevel
FG801,long_1,null,null,-9.9%,h5>h60|today,75%,null
JD1801,long_1,null,null,null,h5>h60|today,67%,long_2
SR801,long_1,null,null,-0.9%,h5>h60|today,64%,long_1
CS1801,long_1,null,null,-15.1%,h5>h60,50%,long_1
TA801,long_1,null,null,0.2%,h5>h60|today,50%,null
CU1712,long_1,null,null,-0.3%,h5>h60,43%,long_2
ZN1712,long_1,null,null,-1.3%,null,42%,long_1
MA801,long_1,null,null,-3.8%,h5>h60|today,40%,null
BU1712,long_1,null,null,7.1%,h5>h60|today,33%,long_1
NI1801,long_1,null,null,-0.5%,h5>h60,33%,long_1
RM801,short_1,null,null,-4.4%,h5<h60,75%,short_1
Y1801,short_1,m5,null,1.5%,h5<h60,64%,short_1
A1801,short_1,null,null,-1.9%,null,59%,null
AU1712,short_1,null,null,null,h5<h60|today,59%,short_1
AL1712,short_1,null,null,1.3%,h5<h60,57%,short_1
AG1712,short_1,null,null,null,h5<h60|today,53%,null
