,SN1507.SHF,SN1508.SHF,SN1509.SHF,SN1510.SHF,SN1511.SHF,SN1512.SHF,SN1601.SHF,SN1602.SHF,SN1603.SHF,SN1604.SHF,SN1605.SHF,SN1606.SHF,SN1607.SHF,SN1608.SHF,SN1609.SHF,SN1610.SHF,SN1611.SHF,SN1612.SHF,SN1701.SHF,SN1702.SHF,SN1703.SHF,SN1704.SHF,SN1705.SHF,SN1706.SHF,SN1707.SHF,SN1708.SHF,SN1709.SHF,SN1710.SHF,SN1711.SHF,SN1712.SHF,SN1801.SHF,SN1802.SHF,SN1803.SHF,SN1804.SHF,SN1805.SHF,SN1806.SHF,SN1807.SHF,SN1808.SHF,SN1809.SHF,SN1810.SHF,SN1811.SHF,SN1812.SHF,SN1901.SHF,SN1902.SHF,SN1903.SHF,SN1904.SHF
2015-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-27,120010.0,122780.0,,122580.0,,,123080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-30,119530.0,118030.0,117010.0,117730.0,,,119100.0,117900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,119800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,118880.0,118000.0,,118500.0,,,,118470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-02,119080.0,,,118700.0,,,118790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-03,119470.0,,,,,121280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-07,119090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-08,118890.0,,121080.0,,,,118730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-09,117980.0,,,117960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-10,116980.0,,117310.0,117360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-13,116290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-14,115650.0,114760.0,,115240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-15,114140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-16,113700.0,,113750.0,115090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,113010.0,112800.0,112140.0,114130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,112960.0,113030.0,112640.0,113460.0,,,112800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,111880.0,112230.0,112060.0,113300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,113430.0,113200.0,113830.0,113870.0,,,,113850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,113760.0,113760.0,114060.0,114000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,113950.0,113580.0,114180.0,114990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,117960.0,116720.0,118250.0,119090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,118550.0,120770.0,119820.0,120660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,117720.0,116990.0,,120160.0,,,,116810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,119900.0,119000.0,118060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,119520.0,119070.0,119730.0,118470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,119780.0,119480.0,121870.0,116740.0,,121270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,123670.0,123980.0,124110.0,121400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,125910.0,124500.0,125600.0,,,,,124810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,122960.0,121700.0,122740.0,122310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-11,122690.0,122810.0,123410.0,,,125300.0,125450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,121930.0,121730.0,122500.0,,,123140.0,122280.0,,,124360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-13,121100.0,120730.0,121690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-14,122480.0,121800.0,122150.0,,,,123350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,119680.0,,120390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-18,119940.0,119600.0,120440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-19,119650.0,119330.0,120040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-20,117960.0,116600.0,117650.0,118170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-21,120400.0,119790.0,119960.0,,,,122050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-22,119730.0,119160.0,120280.0,,,,122600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-25,119800.0,118600.0,119060.0,,,122990.0,124000.0,121870.0,,124330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-26,119570.0,119170.0,120420.0,,,125450.0,125970.0,,,124810.0,128700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-27,117570.0,117180.0,118240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-28,117510.0,119220.0,117930.0,118010.0,,,122200.0,,,,128600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,116900.0,117000.0,117370.0,,,,120810.0,,,124410.0,124000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,116350.0,116490.0,117320.0,,,,120000.0,119480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-02,117000.0,117100.0,118040.0,,,,121980.0,,,,123000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03,116800.0,117480.0,118680.0,,,,,,,,120500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-04,115900.0,118430.0,117430.0,,119500.0,,119230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,114980.0,115680.0,116250.0,117010.0,,119710.0,118950.0,,,122690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-08,114940.0,115410.0,116180.0,,,,117600.0,,,118000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-09,115600.0,115770.0,116650.0,117220.0,,,118190.0,,,,117160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-10,115550.0,116340.0,116560.0,117220.0,,,118500.0,,,,120000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-11,115670.0,116250.0,116890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,114700.0,115340.0,115990.0,,,,116480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-15,113660.0,114310.0,114250.0,,,,116490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-16,112650.0,112800.0,113180.0,114690.0,,,115500.0,,,,117700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-17,112230.0,112400.0,112400.0,113490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-18,112600.0,112310.0,113030.0,113530.0,,,115210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-19,114450.0,112950.0,114500.0,,116000.0,115800.0,116750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-23,114330.0,114000.0,115290.0,,,119000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-24,114150.0,115960.0,114870.0,,,118560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-25,113300.0,115470.0,115320.0,,114920.0,115480.0,115490.0,,,,120540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-26,111920.0,112100.0,112950.0,113680.0,,115580.0,116480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-29,110800.0,111680.0,112700.0,113500.0,,,114500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,109400.0,111550.0,111150.0,112640.0,111300.0,111980.0,111880.0,,,113060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,107980.0,107700.0,108680.0,109190.0,110120.0,112510.0,110870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-02,109000.0,109400.0,109990.0,110260.0,110480.0,,114350.0,,,,114980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-03,111100.0,110850.0,111140.0,,,,110020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-06,109830.0,108360.0,109850.0,,,,111280.0,,,114800.0,115040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-07,107910.0,107500.0,109190.0,108810.0,,,,,,111000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-08,105620.0,104380.0,106430.0,105670.0,104400.0,107700.0,106810.0,,,109990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-09,107670.0,107620.0,110020.0,106820.0,,111160.0,112890.0,110630.0,,108600.0,110920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-10,108790.0,109020.0,110440.0,107610.0,107750.0,,112740.0,,,,113670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-13,106100.0,107140.0,108500.0,108540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-14,108500.0,109000.0,110490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-15,108900.0,109990.0,110300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-16,,112010.0,110220.0,110100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-17,,,110790.0,110990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-20,,111690.0,112490.0,112990.0,,,115940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-21,,111220.0,111860.0,,,,112560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-22,,110880.0,111190.0,111590.0,,,114500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-23,,108770.0,108940.0,109940.0,,,112040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-24,,109000.0,109490.0,,,111710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-27,,110790.0,111400.0,110700.0,,,113990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-28,,109560.0,109940.0,109500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-29,,111550.0,112360.0,112080.0,,,114210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-30,,112940.0,111780.0,111600.0,,,113970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-31,,110900.0,111140.0,,,108280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-03,,110490.0,111370.0,111010.0,,112610.0,115370.0,113000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-04,,107500.0,108860.0,109790.0,109660.0,,113330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-05,,106640.0,109190.0,110510.0,,,113460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-06,,106000.0,108480.0,108180.0,108700.0,,110390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-07,,107490.0,108080.0,108390.0,109130.0,,109190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-10,,107100.0,107960.0,107820.0,,,108970.0,,,112800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-11,,108600.0,111350.0,109800.0,109020.0,,111090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-12,,107240.0,108620.0,108780.0,,,109630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-13,,,109320.0,110850.0,,,109990.0,,,,,113990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-14,,105600.0,108210.0,,,,110550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-17,,106840.0,109200.0,108880.0,,,110530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-18,,,107770.0,108490.0,,,109650.0,,,,,,114060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-19,,,107360.0,107120.0,,,109190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-20,,,108680.0,108340.0,,,109500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-21,,,107450.0,108020.0,,107800.0,108350.0,,,,,,112740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-24,,,105790.0,105500.0,,,107450.0,,,109440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-25,,,101580.0,102000.0,,103820.0,103800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-26,,,102040.0,101800.0,,,103790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-27,,,100460.0,101200.0,,100090.0,102320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-28,,,102980.0,102800.0,,103080.0,104000.0,,,103000.0,105600.0,102070.0,106180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-31,,,102090.0,101980.0,,,103490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,100500.0,101030.0,,,102940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-02,,,100580.0,100980.0,,,102860.0,,,,105990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-07,,,100000.0,101130.0,,,101880.0,,,105010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-08,,,100150.0,101500.0,,,102060.0,,,,,,109540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-09,,,102200.0,103500.0,,,104010.0,,,,102950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-10,,,101000.0,101940.0,,,103250.0,103990.0,,,,,106850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-11,,,102990.0,103850.0,,103200.0,103460.0,,,,105000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-14,,,101010.0,102210.0,,,103760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-15,,,100500.0,101000.0,,,102520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-16,,,,101300.0,,,102400.0,104360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-17,,,,101470.0,,103100.0,102480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-18,,,,101240.0,,,101800.0,,,,,,103230.0,,101580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-21,,,,100050.0,,,101310.0,,,,,101430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-22,,,,99000.0,,,100500.0,,,,,,,,101410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-23,,,,98520.0,,,99080.0,,,,,,,,99990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-24,,,,98290.0,,,99570.0,,,98890.0,98970.0,,,,99510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-25,,,,98190.0,,,99690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-28,,,,97070.0,,,99070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-29,,,,96490.0,,,97520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,,,,96930.0,96990.0,,98080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-08,,,,97200.0,,,99990.0,,,,,102470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-09,,,,97600.0,,,99280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-12,,,,97700.0,97490.0,98000.0,100500.0,,,,102320.0,,99680.0,,102120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-13,,,,98000.0,,,99700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-14,,,,,96000.0,,98700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-15,,,,96000.0,98100.0,99200.0,101000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-16,,,,,,,100230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-19,,,,,,,99320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-20,,,,,,,98500.0,,,,100500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-21,,,,,97790.0,,99200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-22,,,,,,,98880.0,,,,100020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-23,,,,,,97900.0,98680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-26,,,,,96000.0,,99090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-27,,,,,96000.0,95440.0,97800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-28,,,,,94100.0,95200.0,97470.0,,,,,,96750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-29,,,,,,94940.0,95900.0,,,,97000.0,97300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-30,,,,,92200.0,94000.0,94360.0,,,,95000.0,,,,95790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-02,,,,,,93890.0,93920.0,,,,95000.0,,,,97930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-03,,,,,,92900.0,94440.0,,,,97380.0,98010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-04,,,,,,,93510.0,,,,93900.0,94090.0,,,95740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
