,RM1305.CZC,RM1307.CZC,RM1308.CZC,RM1309.CZC,RM1311.CZC,RM1401.CZC,RM1403.CZC,RM1405.CZC,RM1407.CZC,RM1408.CZC,RM1409.CZC,RM1411.CZC,RM1501.CZC,RM1503.CZC,RM1505.CZC,RM1507.CZC,RM1508.CZC,RM1509.CZC,RM1511.CZC,RM1601.CZC,RM1603.CZC,RM1605.CZC,RM607.CZC,RM608.CZC,RM609.CZC,RM611.CZC,RM701.CZC,RM703.CZC,RM705.CZC,RM707.CZC,RM708.CZC,RM709.CZC,RM711.CZC,RM801.CZC,RM803.CZC,RM805.CZC,RM807.CZC,RM808.CZC,RM809.CZC,RM811.CZC,RM901.CZC,RM903.CZC
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,,
2018-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,,
2018-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,,
2018-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,,
2018-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,,
2018-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,,
2018-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,,
2018-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,,
2018-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,,
2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,,
2018-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
2018-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
2018-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
2018-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
2018-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
2018-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
2018-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
2018-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
2018-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
2018-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
2018-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
2018-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
2018-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
2018-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
2018-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
2018-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
2018-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
2018-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
2018-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
