,P0801.DCE,P0802.DCE,P0803.DCE,P0804.DCE,P0805.DCE,P0806.DCE,P0807.DCE,P0808.DCE,P0809.DCE,P0810.DCE,P0811.DCE,P0812.DCE,P0901.DCE,P0902.DCE,P0903.DCE,P0904.DCE,P0905.DCE,P0906.DCE,P0907.DCE,P0908.DCE,P0909.DCE,P0910.DCE,P0911.DCE,P0912.DCE,P1001.DCE,P1002.DCE,P1003.DCE,P1004.DCE,P1005.DCE,P1006.DCE,P1007.DCE,P1008.DCE,P1009.DCE,P1010.DCE,P1011.DCE,P1012.DCE,P1101.DCE,P1102.DCE,P1103.DCE,P1104.DCE,P1105.DCE,P1106.DCE,P1107.DCE,P1108.DCE,P1109.DCE,P1110.DCE,P1111.DCE,P1112.DCE,P1201.DCE,P1202.DCE,P1203.DCE,P1204.DCE,P1205.DCE,P1206.DCE,P1207.DCE,P1208.DCE,P1209.DCE,P1210.DCE,P1211.DCE,P1212.DCE,P1301.DCE,P1302.DCE,P1303.DCE,P1304.DCE,P1305.DCE,P1306.DCE,P1307.DCE,P1308.DCE,P1309.DCE,P1310.DCE,P1311.DCE,P1312.DCE,P1401.DCE,P1402.DCE,P1403.DCE,P1404.DCE,P1405.DCE,P1406.DCE,P1407.DCE,P1408.DCE,P1409.DCE,P1410.DCE,P1411.DCE,P1412.DCE,P1501.DCE,P1502.DCE,P1503.DCE,P1504.DCE,P1505.DCE,P1506.DCE,P1507.DCE,P1508.DCE,P1509.DCE,P1510.DCE,P1511.DCE,P1512.DCE,P1601.DCE,P1602.DCE,P1603.DCE,P1604.DCE,P1605.DCE,P1606.DCE,P1607.DCE,P1608.DCE,P1609.DCE,P1610.DCE,P1611.DCE,P1612.DCE,P1701.DCE,P1702.DCE,P1703.DCE,P1704.DCE,P1705.DCE,P1706.DCE,P1707.DCE,P1708.DCE,P1709.DCE,P1710.DCE,P1711.DCE,P1712.DCE,P1801.DCE,P1802.DCE,P1803.DCE,P1804.DCE,P1805.DCE,P1806.DCE,P1807.DCE,P1808.DCE,P1809.DCE,P1810.DCE,P1811.DCE,P1812.DCE,P1901.DCE,P1902.DCE,P1903.DCE
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,
2018-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,
2018-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,
2018-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,
2018-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,
2018-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,
2018-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,
2018-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,
2018-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,
2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,
