,CS1503.DCE,CS1505.DCE,CS1507.DCE,CS1509.DCE,CS1511.DCE,CS1601.DCE,CS1603.DCE,CS1605.DCE,CS1607.DCE,CS1609.DCE,CS1611.DCE,CS1701.DCE,CS1703.DCE,CS1705.DCE,CS1707.DCE,CS1709.DCE,CS1711.DCE,CS1801.DCE,CS1803.DCE,CS1805.DCE,CS1807.DCE,CS1809.DCE,CS1811.DCE,CS1901.DCE,CS1903.DCE
2018-01-02,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,,
2018-01-03,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,,
2018-01-04,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,,
2018-01-05,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,,
2018-01-08,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,,
2018-01-09,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,,
2018-01-10,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,,
2018-01-11,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,,
2018-01-12,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,,
2018-01-15,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,,
2018-01-16,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-17,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-18,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-19,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-22,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-23,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-24,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-25,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-26,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-29,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-30,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-31,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-02-01,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,
