,contract_issue_date,last_trade_date
JD1403.DCE,2013-11-08,2014-03-14
JD1404.DCE,2013-11-08,2014-04-15
JD1405.DCE,2013-11-08,2014-05-16
JD1406.DCE,2013-11-08,2014-06-16
JD1409.DCE,2013-11-08,2014-09-15
JD1410.DCE,2013-11-08,2014-10-21
JD1411.DCE,2013-11-15,2014-11-14
JD1412.DCE,2013-12-16,2014-12-12
JD1501.DCE,2014-01-16,2015-01-16
JD1502.DCE,2014-02-21,2015-02-13
JD1503.DCE,2014-03-17,2015-03-13
JD1504.DCE,2014-04-16,2015-04-15
JD1505.DCE,2014-05-19,2015-05-15
JD1506.DCE,2014-06-17,2015-06-12
JD1509.DCE,2014-09-16,2015-09-16
JD1510.DCE,2014-10-22,2015-10-21
JD1511.DCE,2014-11-17,2015-11-13
JD1512.DCE,2014-12-15,2015-12-14
JD1601.DCE,2015-01-19,2016-01-15
JD1602.DCE,2015-02-16,2016-02-19
JD1603.DCE,2015-03-16,2016-03-14
JD1604.DCE,2015-04-16,2016-04-15
JD1605.DCE,2015-05-18,2016-05-16
JD1606.DCE,2015-06-15,2016-06-16
JD1609.DCE,2015-09-17,2016-09-14
JD1610.DCE,2015-10-22,2016-10-21
JD1611.DCE,2015-11-16,2016-11-14
JD1612.DCE,2015-12-15,2016-12-14
JD1701.DCE,2016-01-18,2017-01-16
JD1702.DCE,2016-02-22,2017-02-16
JD1703.DCE,2016-03-15,2017-03-28
JD1704.DCE,2016-04-18,2017-04-25
JD1705.DCE,2016-05-17,2017-05-24
JD1706.DCE,2016-06-17,2017-06-27
JD1707.DCE,2016-07-15,2017-07-26
JD1708.DCE,2016-08-15,2017-08-28
JD1709.DCE,2016-09-19,2017-09-26
JD1710.DCE,2016-10-24,2017-10-26
JD1711.DCE,2016-11-15,2017-11-27
JD1712.DCE,2016-12-15,2017-12-26
JD1801.DCE,2017-01-17,2018-01-26
JD1802.DCE,2017-02-17,2018-02-23
JD1803.DCE,2017-03-15,2018-03-27
JD1804.DCE,2017-04-26,2018-04-24
JD1805.DCE,2017-05-25,2018-05-28
JD1806.DCE,2017-06-28,2018-06-26
JD1807.DCE,2017-07-27,2018-07-26
JD1808.DCE,2017-08-29,2018-08-28
JD1809.DCE,2017-09-27,2018-09-25
JD1810.DCE,2017-10-27,2018-10-26
JD1811.DCE,2017-11-28,2018-11-27
JD1812.DCE,2017-12-27,2018-12-26
JD1901.DCE,2018-01-29,2019-01-22
JD1902.DCE,2018-02-26,2019-02-25
JD1903.DCE,2018-03-28,2019-03-26
JD1904.DCE,2018-04-25,2019-04-23
